CDS_number,VF_number,Length_bp,Description,1000ng_NoRibo,500ng_NoRibo,100ng_NoRibo,1000ng_Ribodpl,500ng_Ribodpl,100ng_Ribodpl,50ng_Ribodpl,25ng_Ribodpl,10ng_Ribodpl,5ng_Ribodpl_17cyc,5ng_Ribodpl_15cyc,2ng_Ribodpl_17cyc,2ng_Ribodpl_15cyc,1ng_Ribodpl_17cyc,1ng_Ribodpl_15cyc
c1cds22,VF_0023,981,oxidoreductase%2C Zn-dependent and NAD%28P%29-binding,1221,1536,1502,1408,1273,959,3350,226,1317,1978,1619,1077,792,284,228
c1cds23,VF_0024,1230,3-ketoacyl-CoA thiolase,50,63,52,50,61,48,133,14,72,127,37,68,9,11,1
c1cds24,VF_0025,2178,multifunctional fatty acid oxidation complex subunit alpha,90,125,123,102,102,68,283,23,85,139,116,114,21,22,0
c1cds25,VF_0026,618,elongation factor,692,789,726,539,479,323,822,62,373,628,652,397,209,136,94
c1cds26,VF_0027,1458,potassium transporter,355,405,428,458,410,299,1102,72,462,715,677,382,256,98,70
c1cds27,VF_0028,525,protoporphyrinogen oxidase,111,155,166,200,180,177,488,60,204,207,139,68,121,88,25
c1cds28,VF_0029,2754,zinc protease,552,606,546,571,581,439,1087,124,530,646,573,294,193,176,83
c1cds29,VF_0030,195,hypothetical protein,45,50,32,44,43,34,85,11,40,6,38,1,0,22,2
c1cds30,VF_0031,1380,chloride channel protein,233,236,216,132,117,104,260,19,108,192,214,153,76,43,32
c1cds31,VF_0032,1935,thiamine biosynthesis protein ThiC,85,94,81,73,63,59,143,11,50,21,38,41,44,5,4
c1cds32,VF_0033,660,thiamin phosphate synthase,44,37,26,24,19,18,44,5,16,54,19,2,8,18,5
c1cds33,VF_0034,834,thiamin %28thiazole moiety%29 biosynthesis protein,60,51,37,30,30,31,122,1,16,35,68,29,1,4,5
c1cds34,VF_2576,213,sulfur carrier protein ThiS,33,22,17,10,10,14,17,0,12,31,25,25,0,0,10
c1cds35,VF_0035,771,thiazole synthase,60,62,65,55,51,40,163,6,44,57,57,48,18,4,37
c1cds36,VF_0036,1116,thiamine biosynthesis protein ThiH,125,103,89,66,52,42,208,19,67,191,90,43,20,3,11
c1cds37,VF_0037,2448,beta-N-acetylhexosaminidase,335,416,377,299,280,198,703,40,210,281,305,233,66,31,15
c1cds38,VF_0038,1794,Xaa-Pro aminopeptidase,1984,2548,2452,2402,2313,1771,6578,454,2468,3438,3303,1896,1206,549,386
c1cds39,VF_0040,966,LysR family transcriptional regulator,136,129,102,81,83,57,136,1,52,66,52,33,6,1,6
c1cds40,VF_0041,1230,multidrug efflux system protein,992,1176,1178,864,835,592,2088,220,869,3038,2715,1885,1177,416,556
c1cds41,VF_0042,291,hypothetical protein,320,303,271,297,331,224,841,78,233,629,427,209,133,18,71
c1cds42,VF_0043,930,drug%2Fmetabolite exporter family protein,75,78,74,72,75,51,122,8,89,140,113,32,32,8,9
c1cds43,VF_0044,1521,recombination limiting protein,418,414,375,262,213,157,568,43,221,367,390,253,150,91,55
c1cds44,VF_0046,765,ubiquinone%2Fmenaquinone biosynthesis methyltransferase,880,960,858,906,881,580,2042,137,572,1099,787,735,347,214,112
c1cds45,VF_0047,624,hypothetical protein,155,194,211,174,162,127,744,64,246,267,286,102,65,88,53
c1cds46,VF_0048,1635,ubiquinone biosynthesis protein UbiB,1183,1356,1229,1052,1088,800,2597,246,987,1717,1343,926,502,231,154
c1cds47,VF_0049,249,twin-arginine translocation protein TatA,1661,1666,1431,1495,1570,1077,2878,288,1210,1271,1100,764,448,306,185
c1cds48,VF_0050,381,sec-independent translocase,1653,1814,1611,1642,1469,1159,4033,380,1481,1930,1928,1096,715,511,245
c1cds49,VF_0051,756,TatABCE protein translocation system subunit,798,1055,1111,1299,1327,1066,3541,397,1400,1961,1603,882,595,278,188
c1cds50,VF_0052,762,TatD family Dnase,209,197,163,211,178,140,473,27,144,220,202,252,104,14,29
c1cds51,VF_0053,1017,delta-aminolevulinic acid dehydratase,4586,5227,5291,3614,3171,2437,8246,591,2681,5873,5221,4067,2216,1202,742
c1cds52,VF_0054,1494,guanosine pentaphosphate phosphohydrolase,2192,2821,2753,2496,2369,1779,6138,452,2193,3147,3223,2100,1100,603,483
c1cds53,VF_0056,1299,ATP-dependent RNA helicase RhlB,3661,4592,4363,3954,4025,2988,12182,906,4169,8048,7703,4370,2972,1426,780
c1cds54,VF_0057,327,thioredoxin,869,1189,1190,1453,1367,902,5174,381,1537,2127,1755,1084,737,291,197
c1cds55,VF_0058,1260,transcription termination factor Rho,2642,3403,3296,3448,3449,2532,8884,705,3150,3841,4408,2181,1540,747,493
c1cds56,VF_0059,996,hypothetical protein,246,271,186,195,183,144,373,29,139,149,175,79,58,5,42
c1cds57,VF_0060,1845,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,1581,1864,1885,1612,1617,1126,4772,317,1686,2566,2290,1776,1091,605,477
c1cds58,VF_0061,264,phenol hydroxylase P5 protein,394,350,218,196,217,116,457,26,155,181,157,161,31,16,26
c1cds59,VF_0062,711,FMN reductase,814,1051,1037,945,854,619,2429,163,697,1175,1270,735,457,216,131
c1cds60,VF_0063,1185,protoheme IX synthesis protein,1633,1936,1744,1580,1578,1049,3470,271,1208,1660,1599,958,725,211,120
c1cds61,VF_0064,1173,uroporphyrinogen III methylase,2705,3123,2636,2344,2288,1485,5006,315,1579,2642,2611,1496,836,421,351
c1cds62,VF_0065,762,uroporphyrinogen III synthase,641,637,548,419,379,233,754,29,207,376,464,300,206,153,114
c1cds63,VF_0066,936,porphobilinogen deaminase,1532,2034,2144,1948,1929,1310,5659,366,1904,2897,2794,2054,989,800,298
c1cds64,VF_0067,2448,adenylate cyclase,534,622,602,618,627,438,1585,104,480,621,631,336,137,109,41
c1cds65,VF_0068,2202,DNA-dependent helicase II,1150,1265,1137,960,881,603,2311,138,771,1589,1105,1003,408,185,231
c1cds66,VF_0069,1116,chloramphenical resistance permease,104,116,74,65,57,43,143,8,24,94,105,62,56,4,6
c1cds67,VF_0070,1836,ATP-dependent DNA helicase RecQ,227,292,287,263,240,175,639,72,271,286,295,162,65,17,41
c1cds68,VF_0071,291,hypothetical protein,48,44,32,38,19,12,48,9,6,35,46,26,56,3,1
c1cds69,VF_0072,1365,sn-glycerol-3-phosphate transporter,16685,17633,15211,12311,11422,8355,27863,1880,11155,16215,15424,11201,6729,3152,2676
c1cds70,VF_0073,672,hypothetical protein,81,104,111,121,122,86,308,36,116,92,89,82,68,32,8
c1cds71,VF_0074,2799,DNA polymerase I,3345,3463,3138,3184,2994,2273,7542,600,2846,4105,4053,2435,1428,699,666
c1cds72,VF_0075,648,ribosome biogenesis GTP-binding protein YsxC,639,639,604,650,610,524,1621,113,629,798,819,514,240,201,81
c1cds73,VF_0076,618,cytochrome c4,1738,1954,1721,1668,1522,1036,4889,367,1467,2732,2874,1691,866,574,286
c1cds74,VF_0077,642,2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1%2C4-benzoquinol methylase,268,306,263,226,186,124,600,47,173,407,372,197,82,113,45
c1cds75,VF_0078,546,hypothetical protein,341,383,305,266,234,153,824,52,261,397,405,304,101,92,13
c1cds76,VF_0079,492,coproporphyrinogen III oxidase,215,254,266,211,227,143,516,60,142,262,202,97,45,21,32
c1cds77,VF_0080,1374,coproporphyrinogen III oxidase,1123,1256,1292,1231,1179,808,3224,225,1062,1245,1507,922,586,195,189
c1cds78,VF_0081,462,DNA-binding transcriptional regulator AsnC,421,551,538,491,482,303,1346,76,418,671,527,497,177,185,88
c1cds79,VF_0082,780,SAM-dependent methyltransferase,452,538,487,392,317,198,811,38,209,525,539,476,277,86,49
c1cds80,VF_0083,426,universal stress global response regulator,16603,22015,19532,18089,16954,12343,60087,4459,19818,33721,30504,18654,11412,4784,2983
c1cds81,VF_0084,528,ferritin iron storage protein,2540,3237,3406,3548,3661,2957,10975,774,4273,5352,4166,2937,1558,802,549
c1cds82,VF_0085,354,universal stress protein UspB,792,678,636,652,630,423,1815,119,682,809,600,477,218,255,112
c1cds83,VF_0086,1185,oxidoreductase,490,462,391,368,359,253,798,63,297,596,454,329,168,80,50
c1cds84,VF_0087,2496,sensory transduction protein kinase,323,319,334,265,326,219,541,60,242,257,315,180,92,31,10
c1cds85,VF_0088,600,cytoplasmic protein,99,105,92,94,78,51,160,6,41,97,83,58,29,38,20
c1cds86,VF_0089,1011,hypothetical protein,182,176,170,167,123,93,381,23,109,162,183,80,60,29,45
c1cds87,VF_0090,636,multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase,230,273,225,218,223,163,635,47,193,425,284,138,106,70,10
c1cds88,VF_0091,2466,diguanylate cyclase,35,55,52,46,49,27,117,7,26,45,25,35,0,0,0
c1cds89,VF_2580,192,hypothetical protein,36,43,34,27,40,21,75,4,22,26,11,47,16,0,6
c1cds90,VF_0093,1002,adenosine deaminase,1286,1653,1708,1695,1685,1274,4217,365,1603,1963,1966,1113,638,342,209
c1cds91,VF_0094,2559,diguanylate cyclase,748,829,703,656,601,391,1102,97,361,539,531,326,160,145,71
c1cds92,VF_0095,1404,bifunctional DNA-binding response regulator in two-component regulatory system with NtrB%2F nitrogen regulatory response regulator%2Fsigma54 interaction protein,422,499,437,408,388,254,999,77,338,487,510,265,211,84,85
c1cds93,VF_0096,1059,nitrogen regulation protein NR%28II%29,315,308,247,189,188,98,345,20,109,158,183,132,76,31,39
c1cds94,VF_0097,537,hypothetical protein,257,253,218,220,194,102,548,41,165,272,303,180,103,65,9
c1cds95,VF_0098,1410,glutamine synthetase,4564,5830,5683,4956,4790,3413,12675,959,4116,7887,7475,4593,2744,1300,786
c1cds96,VF_0099,1833,GTP-binding protein,2736,3556,3652,3783,3640,2682,10020,745,3287,4484,5031,3159,1736,975,543
c1cds97,VF_0100,933,ribonuclease BN,617,610,475,402,314,270,583,66,214,246,237,169,143,65,40
c1cds98,VF_0101,435,D-tyrosyl-tRNA%28Tyr%29 deacylase,813,860,721,513,459,292,1057,69,337,505,561,432,334,197,67
c1cds99,VF_0102,900,acetyltransferase,555,694,675,602,590,395,1575,89,521,880,880,420,391,254,48
c1cds100,VF_0103,690,tRNA guanosine-2%27-O-methyltransferase,135,140,156,142,123,81,224,18,81,208,162,61,2,25,11
c1cds101,VF_0104,2124,bifunctional %28p%29ppGpp synthetase II%2F guanosine-3%27%2C5%27-bis pyrophosphate 3%27-pyrophosphohydrolase,2076,2460,2218,2159,2202,1565,6410,469,2236,3956,3358,2397,1379,614,396
c1cds102,VF_0105,273,DNA-directed RNA polymerase subunit omega,2302,2546,1986,1814,1737,956,4427,255,1186,2222,1820,1480,853,290,197
c1cds103,VF_0106,624,guanylate kinase,979,1146,1003,874,837,526,2034,173,827,1144,1091,771,261,137,133
c1cds104,VF_0107,426,hypothetical protein,34,38,44,45,26,21,72,8,22,50,46,36,1,0,3
c1cds105,VF_0108,381,hypothetical protein,51,59,45,42,42,24,108,15,19,86,45,11,25,2,1
c1cds106,VF_0109,933,hypothetical protein,11,11,12,12,18,9,13,1,7,0,7,3,15,3,0
c1cds107,VF_0110,864,hypothetical protein,618,817,767,751,794,563,2510,193,861,1411,1408,913,541,238,201
c1cds108,VF_0111,717,ribonuclease PH,544,590,512,519,495,323,1420,96,395,886,873,490,376,153,85
c1cds109,VF_0112,648,orotate phosphoribosyltransferase,146,194,209,203,189,144,529,35,121,130,240,150,130,84,39
c1cds110,VF_0113,765,chromosome partitioning protein ParA,86,112,111,111,113,71,302,17,77,167,83,88,67,25,12
c1cds111,VF_0114,720,osmolarity response regulator,2623,3161,2885,2707,2498,1570,6555,408,1975,3544,3770,2188,1388,832,452
c1cds112,VF_0115,1305,osmolarity sensor protein,415,500,420,380,359,262,1051,71,366,372,617,320,311,59,71
c1cds113,VF_0116,1392,transporter,18,43,43,35,41,14,63,5,39,40,56,21,14,53,0
c1cds114,VF_0117,720,gluconate periplasmic binding protein,24,20,14,10,17,9,41,4,7,35,34,6,0,6,0
c1cds115,VF_0118,774,carboxylesterase of pimeloyl-CoA synthesis,450,491,424,416,353,228,914,56,369,566,539,375,174,69,63
c1cds116,VF_0119,480,hypothetical protein,1072,992,742,699,585,402,1580,93,523,1151,1043,577,375,155,191
c1cds117,VF_0120,2316,transcriptional accessory protein,2612,3160,2877,2578,2184,1555,5216,349,1793,3155,3175,1646,1546,486,264
c1cds118,VF_0121,474,transcription elongation factor GreB,370,391,328,265,231,180,661,35,236,544,637,329,123,100,59
c1cds119,VF_0122,939,lipid A biosynthesis lauroyl acyltransferase,364,456,387,354,325,191,674,38,197,210,501,121,37,21,57
c1cds120,VF_0124,591,nucleoid occlusion protein,289,303,232,248,227,139,614,30,233,167,279,129,48,58,37
c1cds121,VF_0125,1230,bifunctional phosphopantothenoylcysteine decarboxylase%2Fphosphopantothenate synthase,713,902,680,666,630,413,1463,91,382,824,722,479,208,123,98
c1cds122,VF_0126,675,DNA repair protein RadC,155,255,314,361,385,375,2023,138,696,728,546,546,226,112,125
c1cds123,VF_0127,237,50S ribosomal protein L28,2174,3254,4049,3705,3746,2947,21773,1542,6237,13271,9919,8991,5571,2936,1700
c1cds124,VF_0128,168,50S ribosomal protein L33,9124,8310,5871,5653,5138,3228,10781,756,3029,3482,4123,1752,964,561,285
c1cds125,VF_0129,456,hypothetical protein,508,512,412,350,314,196,867,46,223,440,485,364,278,98,52
c1cds126,VF_0130,819,formamidopyrimidine-DNA glycosylase,366,376,287,239,234,153,531,25,170,292,338,144,182,50,81
c1cds127,VF_0131,1980,phosphoglycerol transferase,837,951,737,638,538,342,1350,81,401,1019,772,554,351,108,126
c1cds128,VF_0132,489,phosphopantetheine adenylyltransferase,127,166,147,140,129,86,509,42,101,188,276,116,138,12,23
c1cds129,VF_0133,1029,glycosyltransferase,380,391,370,332,338,244,904,65,281,532,377,243,265,71,56
c1cds130,VF_0134,786,alpha-L-glycero-D-manno-heptose beta-1%2C4-glucosyltransferase,238,309,314,309,286,223,731,53,308,372,403,250,176,29,55
c1cds131,VF_0135,1044,ADP-heptose--LPS heptosyltransferase III,791,864,756,630,529,332,1111,74,327,726,724,358,198,167,133
c1cds132,VF_0136,705,3-deoxy-D-manno-octulosonic-acid kinase,646,785,652,508,483,338,1485,96,485,651,727,352,257,195,89
c1cds133,VF_0137,1776,choline-sulfatase,1385,1418,1262,1055,1051,690,2294,181,796,1019,990,643,289,129,122
c1cds134,VF_0138,1257,3-deoxy-D-manno-octulosonic-acid transferase,741,714,682,587,574,416,1418,104,440,714,640,520,195,118,108
c1cds135,VF_0139,1026,ADP-heptose--LPS heptosyltransferase,516,725,796,722,645,504,2504,138,744,1194,1160,924,399,420,168
c1cds136,VF_0140,1191,UDP-N-acetylglucosamine 4%2C6-dehydratase,8344,7230,6332,5771,5771,4298,10034,933,4806,5179,5033,3068,1779,534,566
c1cds137,VF_0141,1146,UDP-bacillosamine synthetase,3653,4220,3980,3373,3300,2501,8747,592,3009,4648,4485,2538,1469,755,478
c1cds138,VF_0142,1185,UDP-N-acetylglucosamine 2-epimerase,3181,3394,3076,2890,2662,1878,5345,409,2062,2657,3006,1916,790,569,391
c1cds139,VF_0143,1074,N-acetylneuraminate synthase,2819,3122,2834,2453,2263,1758,5870,353,2022,2894,2400,1706,947,577,366
c1cds140,VF_0144,645,sialic acid synthase,751,867,987,804,761,626,1753,102,722,692,768,492,305,205,93
c1cds141,VF_0145,1059,mannose-1-phosphate guanylyltransferase,2424,2861,2736,2468,2355,1820,5759,479,2396,3030,3162,1828,1038,677,286
c1cds142,VF_0146,981,oxidoreductase,2715,2825,2358,2160,2050,1399,4105,249,1700,1978,1775,1412,751,447,362
c1cds143,VF_0147,690,acylneuraminate cytidylyltransferase,1410,1412,1261,1162,1131,858,3425,234,1259,1923,1723,1165,816,552,279
c1cds144,VF_0148,771,flagellin modification protein A,2486,2582,2417,2336,2197,1596,4910,366,1980,2552,2517,1717,1027,471,313
c1cds145,VF_0149,1170,glycosyltransferase,789,805,761,642,529,488,1446,171,876,741,658,510,341,98,58
c1cds146,VF_0150,978,hypothetical protein,476,510,416,330,169,152,1151,86,490,262,305,229,118,19,23
c1cds147,VF_0151,1233,O-antigen ligase,195,283,179,118,93,116,897,73,339,185,253,85,21,20,21
c1cds148,VF_0152,942,ADP-L-glycero-D-manno-heptose-6-epimerase,1470,1821,1790,1881,1929,1360,4809,323,1881,2424,2419,1358,903,409,284
c1cds149,VF_0153,1473,right junction gene%2C LPS locus,179,155,116,79,89,30,152,5,40,142,106,45,35,2,8
c1cds150,VF_0154,354,hypothetical protein,38,28,18,16,18,17,13,8,20,41,14,16,6,1,0
c1cds151,VF_0155,645,TetR family transcriptional regulator,739,797,547,474,461,257,1026,66,297,532,529,314,193,117,25
c1cds152,VF_0157,2253,WbfB protein,446,501,480,424,396,290,968,53,367,706,508,514,147,106,83
c1cds153,VF_0158,762,hypothetical protein,43,29,29,29,31,11,56,2,11,2,6,12,0,0,1
c1cds154,VF_0160,675,WbfD protein,59,65,58,22,27,18,43,3,9,15,4,22,1,0,1
c1cds155,VF_0161,249,hypothetical protein,12654,12590,9701,10271,10388,8383,57881,4411,18482,19574,14829,14750,8010,3228,2755
c1cds156,VF_0162,1152,exopolysaccharide export protein,621,611,535,447,393,312,1201,83,354,439,657,409,321,143,89
c1cds157,VF_0163,351,hypothetical protein,268,233,223,185,193,150,374,34,162,187,123,76,50,9,31
c1cds158,VF_0164,441,phosphotyrosine-protein phosphatase,333,300,242,212,235,149,509,24,134,272,328,199,181,33,26
c1cds159,VF_0165,2163,protein-tyrosine kinase%2C chain length regulator in capsular polysaccharide biosynthesis,1744,1820,1501,1347,1273,844,3108,200,1085,1535,1499,969,500,231,179
c1cds160,VF_0166,1095,dTDP-glucose 4%2C6-dehydratase,2010,1940,1670,1519,1428,1051,3492,276,1241,1909,1541,1246,682,286,232
c1cds161,VF_0167,900,glucose-1-phosphate thymidylyltransferase,1844,1645,1357,1032,900,689,1891,156,790,1284,1215,674,555,230,130
c1cds162,VF_0168,558,dTDP-4-deoxyrhamnose-3%2C5-epimerase,642,699,734,505,478,337,866,68,406,450,491,276,93,63,42
c1cds163,VF_0169,816,dTDP-glucose-4%2C6-dehydratase,926,845,750,378,307,200,777,52,444,332,433,292,95,116,69
c1cds164,VF_0170,1254,polisoprenol-linked O-antigen transporter,511,510,397,195,111,113,720,54,373,139,255,160,101,14,37
c1cds165,VF_0171,1320,hypothetical protein,1510,1283,902,248,126,147,877,98,414,240,288,141,32,26,11
c1cds166,VF_0172,633,O-acetyltransferase,2038,1740,1206,976,998,685,1451,143,803,1116,846,681,523,99,122
c1cds167,VF_0173,948,hypothetical protein,184,270,139,70,18,41,434,66,219,102,142,41,40,24,23
c1cds168,VF_2581,1140,hypothetical protein,116,137,130,96,95,92,324,35,227,114,96,68,51,57,6
c1cds169,VF_0174,993,beta-D-GlcNAc beta-1%2C3-galactosyltransferase,1075,1004,780,695,462,496,2363,259,1305,859,883,392,315,64,55
c1cds170,VF_0175,816,glycosyltransferase,2041,1549,1162,1059,797,717,3578,384,1628,963,1071,656,328,101,147
c1cds171,VF_0176,798,2-dehydro-3-deoxyphosphooctonate aldolase,2777,2978,3013,3257,3331,2442,9000,838,4071,4712,4370,2407,1565,724,449
c1cds172,VF_0177,564,3-deoxy-manno-octulosonate-8-phosphatase,770,872,832,775,688,618,3065,278,1423,1009,727,510,224,111,79
c1cds173,VF_0178,753,3-deoxy-manno-octulosonate cytidylyltransferase,1832,1882,1680,1520,1530,1086,3840,367,1551,1721,1579,844,635,306,154
c1cds174,VF_0179,933,arabinose-5-phosphate isomerase,1925,1912,1825,1998,2049,1489,4940,451,1992,2191,2229,1763,868,354,226
c1cds175,VF_0180,1092,UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase,1244,1333,1464,1353,1399,977,3565,292,1639,1867,1466,900,616,321,263
c1cds176,VF_0181,966,CDP-6-deoxy-delta-3%2C4-glucoseen reductase,1128,1406,1416,1306,1279,1047,3150,258,1501,1743,1174,1040,567,305,206
c1cds177,VF_0182,774,glucose-1-phosphate cytidylyltransferase,2310,2604,2477,1925,1706,1392,5463,406,2215,2218,2237,1743,958,641,279
c1cds178,VF_0183,1083,CDP-glucose 4%2C6-dehydratase,4233,4325,3612,2563,2302,1757,5923,383,2222,3427,3024,1790,1215,637,380
c1cds179,VF_0184,1314,CDP-4-dehydro-6-deoxy-D-glucose 3-dehydratase,5168,5456,5378,4527,4485,3637,12264,1043,5338,6227,6151,3951,2221,874,589
c1cds180,VF_0185,1701,acetolactate synthase%2C large subunit,3127,3285,3161,2898,2859,2057,6036,548,2960,2754,2807,1856,1174,591,226
c1cds181,VF_0186,1023,dTDP-glucose 4%2C6-dehydratase,951,941,805,742,738,468,1846,176,821,1169,792,613,339,137,83
c1cds182,VF_0187,930,glycosyltransferase,1669,1573,1251,1199,740,829,4229,362,2197,1415,1235,1251,664,250,131
c1cds183,VF_0188,990,glycosyltransferase,849,897,856,733,528,488,2387,220,1089,853,658,595,240,110,54
c1cds184,VF_0189,1278,hypothetical protein,189,217,185,171,75,78,466,38,257,163,161,98,64,23,8
c1cds185,VF_0190,1104,hypothetical protein,1051,937,691,565,261,238,958,119,559,283,299,128,19,23,4
c1cds186,VF_0191,1038,UDP-N-acetylglucosamine 4%2C6-dehydratase,2505,2845,2670,2707,2606,1905,5437,485,2547,2481,2215,1563,770,416,193
c1cds187,VF_0192,1104,UDP-2-acetamido-2%2C6-dideoxy-beta-L-talose 4-dehydrogenase,2011,1888,1643,1441,1493,1011,2877,208,1167,1417,1272,974,481,345,136
c1cds188,VF_0193,1131,UDP-N-acetyl glucosamine-2-epimerase,1290,1498,1490,1342,1313,967,3316,262,1209,1505,1739,1119,689,349,218
c1cds189,VF_0194,1245,group 1 glycosyl transferase,1205,1386,1269,1068,1081,805,3420,209,1212,1498,1469,863,737,157,170
c1cds190,VF_0195,912,UDP-N-acetyl-D-quinovosamine 4-epimerase,1604,1715,1507,1267,1286,879,2948,198,1142,1621,1757,798,602,199,199
c1cds191,VF_0196,549,undecaprenyl-phosphate beta-N-acetyl-D-fucosaminephosphotransferase,542,515,407,419,385,290,1035,86,411,503,464,321,226,37,13
c1cds192,VF_0197,1908,UDP-D-quinovosamine 4-dehydrogenase,1625,1681,1448,1212,1066,765,3403,222,1260,1261,1436,1047,640,355,192
c1cds193,VF_0200,954,acetyltransferase,495,522,508,452,402,274,987,72,320,429,678,340,282,52,93
c1cds194,VF_0201,1008,UDP-glucose 4-epimerase,2873,2984,2801,2458,2383,1580,4927,388,2067,3087,3046,1914,1036,602,464
c1cds195,VF_0202,1533,phosphoglyceromutase,13120,16343,14648,13437,13003,8974,31473,2003,11042,19923,20626,12163,6833,3431,2094
c1cds196,VF_0203,1500,Na%28%2B%29 driven multidrug efflux pump,128,147,121,81,78,42,209,15,46,130,113,58,54,24,23
c1cds197,VF_0204,291,co-chaperonin GroES,880,1002,1132,1058,1052,793,2571,203,1156,1095,1253,619,422,240,162
c1cds198,VF_0205,1647,molecular chaperone GroEL,10359,12271,11381,10758,9651,7193,24425,1831,9028,11871,12333,7330,4523,2174,1344
c1cds199,VF_0206,771,triosephosphate isomerase,7928,9942,9727,9415,8682,6395,22265,1643,8485,14584,13625,7637,4837,2917,1532
c1cds200,VF_0207,345,5-carboxymethyl-2-hydroxymuconate delta-isomerase,797,679,518,463,406,263,872,53,207,485,592,306,167,108,43
c1cds201,VF_0208,354,hypothetical protein,2,3,5,4,2,2,2,0,0,0,0,8,0,0,0
c1cds202,VF_0209,1008,fructose 1%2C6-bisphosphatase II,944,943,846,690,649,453,1642,143,547,942,1042,587,325,107,71
c1cds203,VF_0210,243,transcriptional regulator,2720,2447,1842,1820,1674,1033,4708,269,1096,1379,1234,1029,360,148,121
c1cds204,VF_0211,498,ribonuclease activity regulator protein RraA,3096,3072,2729,2364,2351,1680,5365,479,2067,2996,3251,2504,1480,656,636
c1cds205,VF_0212,909,1%2C4-dihydroxy-2-naphthoate octaprenyltransferase,341,352,359,273,258,165,775,33,292,392,327,221,192,96,20
c1cds206,VF_0214,870,phosphoribulokinase,677,733,652,605,565,347,1321,103,614,844,834,599,459,136,129
c1cds207,VF_0215,261,hypothetical protein,61,65,73,55,55,42,145,6,55,100,17,18,0,0,1
c1cds208,VF_0216,969,hydrolase,223,270,229,192,149,115,365,26,126,204,176,76,9,29,16
c1cds209,VF_0217,507,hypothetical protein,40,28,23,15,19,9,27,1,7,7,9,17,3,2,0
