CDS_number,VF_number,Length_bp,Description,Plk1,Plk2,Plk3,Swt1,Swt2,Swt3,Vnt1,Vnt2,Vnt3
c1cds22,VF_0023,981,oxidoreductase%2C Zn-dependent and NAD%28P%29-binding,12576,8988,9834,3056,4231,959,182,1893,4574
c1cds23,VF_0024,1230,3-ketoacyl-CoA thiolase,20111,24711,21243,186,240,48,752,10561,25669
c1cds24,VF_0025,2178,multifunctional fatty acid oxidation complex subunit alpha,39596,30806,41680,325,510,68,2807,28616,58681
c1cds25,VF_0026,618,elongation factor,338,599,597,462,1257,323,1,159,378
c1cds26,VF_0027,1458,potassium transporter,436,784,663,787,975,299,82,317,514
c1cds27,VF_0028,525,protoporphyrinogen oxidase,165,233,272,441,582,177,0,141,173
c1cds28,VF_0029,2754,zinc protease,2063,1761,1898,11751,1168,439,218,877,847
c1cds29,VF_0030,195,hypothetical protein,233,151,97,570,71,34,0,87,31
c1cds30,VF_0031,1380,chloride channel protein,2501,1486,1491,374,287,104,235,787,1422
c1cds31,VF_0032,1935,thiamine biosynthesis protein ThiC,88,117,127,144,135,59,96,527,619
c1cds32,VF_0033,660,thiamin phosphate synthase,41,41,40,44,56,18,52,84,104
c1cds33,VF_0034,834,thiamin %28thiazole moiety%29 biosynthesis protein,72,46,86,70,91,31,0,127,145
c1cds34,VF_2576,213,sulfur carrier protein ThiS,22,16,9,26,13,14,78,17,35
c1cds35,VF_0035,771,thiazole synthase,92,54,77,90,158,40,0,151,231
c1cds36,VF_0036,1116,thiamine biosynthesis protein ThiH,158,132,178,121,140,42,38,146,194
c1cds37,VF_0037,2448,beta-N-acetylhexosaminidase,1218,1409,1760,1442,821,198,109,580,872
c1cds38,VF_0038,1794,Xaa-Pro aminopeptidase,2008,2778,3655,8078,5518,1771,214,1086,1863
c1cds39,VF_0040,966,LysR family transcriptional regulator,331,177,213,302,145,57,97,51,103
c1cds40,VF_0041,1230,multidrug efflux system protein,901,2211,2028,6171,2629,592,165,2444,3239
c1cds41,VF_0042,291,hypothetical protein,843,1206,1271,1088,779,224,131,598,764
c1cds42,VF_0043,930,drug%2Fmetabolite exporter family protein,471,606,665,244,142,51,16,89,144
c1cds43,VF_0044,1521,recombination limiting protein,252,306,337,882,609,157,26,130,171
c1cds44,VF_0046,765,ubiquinone%2Fmenaquinone biosynthesis methyltransferase,418,792,1067,3974,1972,580,114,690,969
c1cds45,VF_0047,624,hypothetical protein,82,265,289,845,606,127,0,140,138
c1cds46,VF_0048,1635,ubiquinone biosynthesis protein UbiB,5695,5389,6530,4353,2403,800,367,1524,3837
c1cds47,VF_0049,249,twin-arginine translocation protein TatA,6949,3552,3616,3142,2505,1077,411,790,1237
c1cds48,VF_0050,381,sec-independent translocase,5943,5466,7723,2925,4201,1159,282,964,2444
c1cds49,VF_0051,756,TatABCE protein translocation system subunit,12042,8038,10080,4869,4512,1066,193,1364,2880
c1cds50,VF_0052,762,TatD family Dnase,174,246,437,532,430,140,0,155,167
c1cds51,VF_0053,1017,delta-aminolevulinic acid dehydratase,2363,2308,2893,6181,7941,2437,297,434,928
c1cds52,VF_0054,1494,guanosine pentaphosphate phosphohydrolase,1633,3274,4512,6838,6273,1779,135,216,454
c1cds53,VF_0056,1299,ATP-dependent RNA helicase RhlB,1829,4070,5036,11751,11924,2988,189,464,786
c1cds54,VF_0057,327,thioredoxin,4264,5851,6001,5892,3443,902,222,1928,2757
c1cds55,VF_0058,1260,transcription termination factor Rho,9980,15665,22446,15951,8836,2532,493,3631,5543
c1cds56,VF_0059,996,hypothetical protein,7769,4534,6039,725,508,144,259,1685,2933
c1cds57,VF_0060,1845,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,4690,6800,8819,4734,4794,1126,180,1170,1729
c1cds58,VF_0061,264,phenol hydroxylase P5 protein,329,510,478,458,424,116,55,94,122
c1cds59,VF_0062,711,FMN reductase,875,1179,1830,3537,2223,619,17,420,521
c1cds60,VF_0063,1185,protoheme IX synthesis protein,1413,1293,1594,3754,3828,1049,95,495,1169
c1cds61,VF_0064,1173,uroporphyrinogen III methylase,1405,1417,1593,4017,5461,1485,112,452,1009
c1cds62,VF_0065,762,uroporphyrinogen III synthase,812,601,606,1252,736,233,37,120,358
c1cds63,VF_0066,936,porphobilinogen deaminase,691,1489,2002,4788,5837,1310,67,370,582
c1cds64,VF_0067,2448,adenylate cyclase,2434,3122,4200,1831,1461,438,138,618,780
c1cds65,VF_0068,2202,DNA-dependent helicase II,1126,2146,3159,3732,1960,603,35,379,501
c1cds66,VF_0069,1116,chloramphenical resistance permease,247,284,277,194,161,43,3,94,167
c1cds67,VF_0070,1836,ATP-dependent DNA helicase RecQ,236,806,1075,1194,678,175,37,241,380
c1cds68,VF_0071,291,hypothetical protein,63,132,167,196,62,12,0,20,19
c1cds69,VF_0072,1365,sn-glycerol-3-phosphate transporter,186,453,505,33009,38015,8355,29,207,543
c1cds70,VF_0073,672,hypothetical protein,318,372,436,428,334,86,7,299,358
c1cds71,VF_0074,2799,DNA polymerase I,1939,3275,3858,9054,6982,2273,274,1284,1808
c1cds72,VF_0075,648,ribosome biogenesis GTP-binding protein YsxC,1230,1686,2147,2896,1617,524,93,554,811
c1cds73,VF_0076,618,cytochrome c4,2124,4711,6070,6393,7010,1036,490,2378,3948
c1cds74,VF_0077,642,2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1%2C4-benzoquinol methylase,1103,1379,1734,881,550,124,216,315,675
c1cds75,VF_0078,546,hypothetical protein,1237,2316,2441,1167,650,153,92,317,767
c1cds76,VF_0079,492,coproporphyrinogen III oxidase,828,1309,1643,1087,512,143,23,303,573
c1cds77,VF_0080,1374,coproporphyrinogen III oxidase,2312,3768,5237,4319,3185,808,93,757,1290
c1cds78,VF_0081,462,DNA-binding transcriptional regulator AsnC,573,799,1049,725,1236,303,62,193,401
c1cds79,VF_0082,780,SAM-dependent methyltransferase,353,426,580,720,813,198,65,272,430
c1cds80,VF_0083,426,universal stress global response regulator,8186,9924,7618,13868,75384,12343,138,3495,5971
c1cds81,VF_0084,528,ferritin iron storage protein,14294,12870,11840,10230,12638,2957,196,5274,10697
c1cds82,VF_0085,354,universal stress protein UspB,8086,6650,4987,931,1890,423,336,2717,5517
c1cds83,VF_0086,1185,oxidoreductase,5779,4553,4867,1033,1112,253,462,2871,7481
c1cds84,VF_0087,2496,sensory transduction protein kinase,8802,4574,4533,1425,736,219,400,2461,4498
c1cds85,VF_0088,600,cytoplasmic protein,532,395,579,294,151,51,0,158,272
c1cds86,VF_0089,1011,hypothetical protein,930,817,1140,440,310,93,95,216,633
c1cds87,VF_0090,636,multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase,328,839,1184,964,426,163,0,222,378
c1cds88,VF_0091,2466,diguanylate cyclase,57,37,45,60,103,27,0,82,77
c1cds89,VF_2580,192,hypothetical protein,120,88,78,51,49,21,27,40,61
c1cds90,VF_0093,1002,adenosine deaminase,5242,4606,5501,4666,5333,1274,314,1786,3714
c1cds91,VF_0094,2559,diguanylate cyclase,597,1601,1657,1738,1224,391,31,158,239
c1cds92,VF_0095,1404,bifunctional DNA-binding response regulator in two-component regulatory system with NtrB%2F nitrogen regulatory response regulator%2Fsigma54 interaction protein,189,274,294,947,1083,254,17,61,124
c1cds93,VF_0096,1059,nitrogen regulation protein NR%28II%29,84,148,211,571,349,98,44,74,120
c1cds94,VF_0097,537,hypothetical protein,235,307,295,352,629,102,2,288,596
c1cds95,VF_0098,1410,glutamine synthetase,3091,5267,8251,14427,12686,3413,279,1315,1736
c1cds96,VF_0099,1833,GTP-binding protein,30879,45124,78618,27306,10639,2682,869,7567,16669
c1cds97,VF_0100,933,ribonuclease BN,501,630,664,694,723,270,79,321,409
c1cds98,VF_0101,435,D-tyrosyl-tRNA%28Tyr%29 deacylase,753,495,755,768,1045,292,3,99,297
c1cds99,VF_0102,900,acetyltransferase,1110,864,1266,1653,1974,395,127,173,425
c1cds100,VF_0103,690,tRNA guanosine-2%27-O-methyltransferase,206,197,262,447,201,81,0,51,118
c1cds101,VF_0104,2124,bifunctional %28p%29ppGpp synthetase II%2F guanosine-3%27%2C5%27-bis pyrophosphate 3%27-pyrophosphohydrolase,7917,8828,10991,8094,7207,1565,330,1316,2721
c1cds102,VF_0105,273,DNA-directed RNA polymerase subunit omega,6488,5770,6751,4746,3464,956,418,1650,3233
c1cds103,VF_0106,624,guanylate kinase,2019,3432,4627,2510,2072,526,42,1101,1972
c1cds104,VF_0107,426,hypothetical protein,1034,1033,1248,93,94,21,21,237,413
c1cds105,VF_0108,381,hypothetical protein,195,71,58,140,113,24,0,116,183
c1cds106,VF_0109,933,hypothetical protein,243,76,50,17,35,9,56,159,223
c1cds107,VF_0110,864,hypothetical protein,1140,2264,2890,3353,1986,563,62,693,1169
c1cds108,VF_0111,717,ribonuclease PH,1777,3552,4637,2703,1427,323,19,1108,2309
c1cds109,VF_0112,648,orotate phosphoribosyltransferase,596,774,1008,1049,514,144,3,262,520
c1cds110,VF_0113,765,chromosome partitioning protein ParA,126,479,467,235,226,71,27,131,195
c1cds111,VF_0114,720,osmolarity response regulator,4699,2664,3329,3016,6580,1570,170,544,1256
c1cds112,VF_0115,1305,osmolarity sensor protein,345,272,410,553,848,262,71,110,187
c1cds113,VF_0116,1392,transporter,43,105,86,133,78,14,38,57,79
c1cds114,VF_0117,720,gluconate periplasmic binding protein,59,39,82,28,23,9,0,31,69
c1cds115,VF_0118,774,carboxylesterase of pimeloyl-CoA synthesis,348,754,816,893,908,228,71,270,424
c1cds116,VF_0119,480,hypothetical protein,817,1062,1091,990,1538,402,146,242,484
c1cds117,VF_0120,2316,transcriptional accessory protein,456,370,559,7826,4607,1555,27,76,146
c1cds118,VF_0121,474,transcription elongation factor GreB,317,165,244,872,550,180,0,54,120
c1cds119,VF_0122,939,lipid A biosynthesis lauroyl acyltransferase,979,532,655,1015,583,191,63,111,302
c1cds120,VF_0124,591,nucleoid occlusion protein,508,426,439,644,477,139,0,88,205
c1cds121,VF_0125,1230,bifunctional phosphopantothenoylcysteine decarboxylase%2Fphosphopantothenate synthase,1000,450,500,2373,1130,413,46,141,318
c1cds122,VF_0126,675,DNA repair protein RadC,1023,1662,1393,1451,1122,375,0,248,497
c1cds123,VF_0127,237,50S ribosomal protein L28,7954,30983,28539,17906,13273,2947,235,4791,8949
c1cds124,VF_0128,168,50S ribosomal protein L33,5923,18622,23567,12651,8293,3228,515,3708,7271
c1cds125,VF_0129,456,hypothetical protein,623,499,614,495,724,196,4,128,173
c1cds126,VF_0130,819,formamidopyrimidine-DNA glycosylase,464,338,434,404,519,153,0,93,143
c1cds127,VF_0131,1980,phosphoglycerol transferase,2132,1764,1939,2519,1157,342,96,303,401
c1cds128,VF_0132,489,phosphopantetheine adenylyltransferase,397,556,647,510,442,86,49,124,261
c1cds129,VF_0133,1029,glycosyltransferase,581,1001,1475,1638,761,244,38,158,310
c1cds130,VF_0134,786,alpha-L-glycero-D-manno-heptose beta-1%2C4-glucosyltransferase,488,882,1291,1271,696,223,3,147,252
c1cds131,VF_0135,1044,ADP-heptose--LPS heptosyltransferase III,626,1902,3077,1762,1088,332,0,315,515
c1cds132,VF_0136,705,3-deoxy-D-manno-octulosonic-acid kinase,541,803,1048,859,1399,338,32,144,208
c1cds133,VF_0137,1776,choline-sulfatase,3201,2522,2978,4451,2438,690,254,655,1113
c1cds134,VF_0138,1257,3-deoxy-D-manno-octulosonic-acid transferase,1229,1145,1308,1586,1282,416,36,343,656
c1cds135,VF_0139,1026,ADP-heptose--LPS heptosyltransferase,1659,1614,1913,1826,2200,504,0,414,818
c1cds136,VF_0140,1191,UDP-N-acetylglucosamine 4%2C6-dehydratase,6573,6477,7203,10872,12626,4298,1124,2771,3545
c1cds137,VF_0141,1146,UDP-bacillosamine synthetase,3849,5663,6897,7743,8783,2501,706,1242,2206
c1cds138,VF_0142,1185,UDP-N-acetylglucosamine 2-epimerase,5382,5134,6146,7171,5847,1878,69,1158,2610
c1cds139,VF_0143,1074,N-acetylneuraminate synthase,4325,4001,4120,5842,6065,1758,99,802,1626
c1cds140,VF_0144,645,sialic acid synthase,1415,1778,1711,2215,2045,626,17,417,665
c1cds141,VF_0145,1059,mannose-1-phosphate guanylyltransferase,3209,4347,4432,6289,6301,1820,135,897,1708
c1cds142,VF_0146,981,oxidoreductase,2661,3279,3734,5482,4131,1399,154,894,1558
c1cds143,VF_0147,690,acylneuraminate cytidylyltransferase,1713,1998,2303,3171,3682,858,111,583,1054
c1cds144,VF_0148,771,flagellin modification protein A,2846,1884,1606,5572,6617,1596,486,762,929
c1cds145,VF_0149,1170,glycosyltransferase,1056,1025,699,1958,2029,488,121,542,469
c1cds146,VF_0150,978,hypothetical protein,511,1085,572,309,1208,152,74,71,61
c1cds147,VF_0151,1233,O-antigen ligase,995,1951,1281,540,772,116,79,199,197
c1cds148,VF_0152,942,ADP-L-glycero-D-manno-heptose-6-epimerase,4262,4627,5326,4541,4895,1360,39,1116,1859
c1cds149,VF_0153,1473,right junction gene%2C LPS locus,1633,292,309,95,127,30,33,60,116
c1cds150,VF_0154,354,hypothetical protein,256,102,49,75,41,17,78,57,49
c1cds151,VF_0155,645,TetR family transcriptional regulator,985,1073,1362,1177,857,257,212,294,523
c1cds152,VF_0157,2253,WbfB protein,414,299,373,1744,683,290,40,123,259
c1cds153,VF_0158,762,hypothetical protein,19,11,9,251,34,11,0,5,8
c1cds154,VF_0160,675,WbfD protein,6,6,11,110,34,18,0,11,9
c1cds155,VF_0161,249,hypothetical protein,10555,2246,2485,25927,47406,8383,1386,3724,10204
c1cds156,VF_0162,1152,exopolysaccharide export protein,156,176,320,2376,1040,312,59,161,288
c1cds157,VF_0163,351,hypothetical protein,165,125,127,932,403,150,39,105,103
c1cds158,VF_0164,441,phosphotyrosine-protein phosphatase,73,80,130,1288,460,149,0,41,47
c1cds159,VF_0165,2163,protein-tyrosine kinase%2C chain length regulator in capsular polysaccharide biosynthesis,408,306,457,4915,2007,844,77,76,165
c1cds160,VF_0166,1095,dTDP-glucose 4%2C6-dehydratase,608,435,494,3561,2411,1051,20,166,294
c1cds161,VF_0167,900,glucose-1-phosphate thymidylyltransferase,396,235,294,1746,1166,689,35,106,153
c1cds162,VF_0168,558,dTDP-4-deoxyrhamnose-3%2C5-epimerase,332,102,139,922,626,337,0,78,130
c1cds163,VF_0169,816,dTDP-glucose-4%2C6-dehydratase,328,155,87,676,713,200,47,74,88
c1cds164,VF_0170,1254,polisoprenol-linked O-antigen transporter,364,125,79,178,460,113,60,52,58
c1cds165,VF_0171,1320,hypothetical protein,575,124,69,104,602,147,80,61,43
c1cds166,VF_0172,633,O-acetyltransferase,1543,141,108,1264,1088,685,195,138,114
c1cds167,VF_0173,948,hypothetical protein,194,56,29,36,293,41,82,36,22
c1cds168,VF_2581,1140,hypothetical protein,619,57,25,205,286,92,38,42,22
c1cds169,VF_0174,993,beta-D-GlcNAc beta-1%2C3-galactosyltransferase,1167,99,66,810,1546,496,140,128,63
c1cds170,VF_0175,816,glycosyltransferase,1214,156,108,1497,2110,717,35,179,76
c1cds171,VF_0176,798,2-dehydro-3-deoxyphosphooctonate aldolase,2495,423,451,6349,7966,2442,11,367,479
c1cds172,VF_0177,564,3-deoxy-manno-octulosonate-8-phosphatase,856,238,200,1581,2464,618,59,223,182
c1cds173,VF_0178,753,3-deoxy-manno-octulosonate cytidylyltransferase,1533,414,436,3926,3444,1086,98,320,388
c1cds174,VF_0179,933,arabinose-5-phosphate isomerase,1924,369,372,8186,4865,1489,51,418,410
c1cds175,VF_0180,1092,UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase,1174,953,1164,5492,3842,977,165,803,616
c1cds176,VF_0181,966,CDP-6-deoxy-delta-3%2C4-glucoseen reductase,5587,8109,7580,3617,3054,1047,177,2040,2268
c1cds177,VF_0182,774,glucose-1-phosphate cytidylyltransferase,4779,8272,9368,3933,6252,1392,195,1261,2098
c1cds178,VF_0183,1083,CDP-glucose 4%2C6-dehydratase,6621,11346,13159,5856,6877,1757,328,969,1905
c1cds179,VF_0184,1314,CDP-4-dehydro-6-deoxy-D-glucose 3-dehydratase,9618,14629,17076,12515,14164,3637,439,2132,4167
c1cds180,VF_0185,1701,acetolactate synthase%2C large subunit,9520,16670,15141,7213,7365,2057,362,2307,3660
c1cds181,VF_0186,1023,dTDP-glucose 4%2C6-dehydratase,4732,7390,4929,2427,2087,468,310,652,727
c1cds182,VF_0187,930,glycosyltransferase,4117,7736,5569,1756,5027,829,484,1030,1103
c1cds183,VF_0188,990,glycosyltransferase,2783,5005,3706,1682,2722,488,190,769,891
c1cds184,VF_0189,1278,hypothetical protein,1318,2945,1641,244,598,78,118,333,330
c1cds185,VF_0190,1104,hypothetical protein,1867,2170,1336,553,1418,238,522,402,320
c1cds186,VF_0191,1038,UDP-N-acetylglucosamine 4%2C6-dehydratase,5506,5557,6562,6724,7829,1905,300,1515,2032
c1cds187,VF_0192,1104,UDP-2-acetamido-2%2C6-dideoxy-beta-L-talose 4-dehydrogenase,4871,4753,6254,6555,3496,1011,291,680,962
c1cds188,VF_0193,1131,UDP-N-acetyl glucosamine-2-epimerase,3084,3321,4118,4759,3823,967,89,494,772
c1cds189,VF_0194,1245,group 1 glycosyl transferase,3606,5631,6749,3488,3370,805,194,717,1194
c1cds190,VF_0195,912,UDP-N-acetyl-D-quinovosamine 4-epimerase,3244,4533,5802,2899,3171,879,81,707,1443
c1cds191,VF_0196,549,undecaprenyl-phosphate beta-N-acetyl-D-fucosaminephosphotransferase,1521,2668,2580,1024,1010,290,218,372,507
c1cds192,VF_0197,1908,UDP-D-quinovosamine 4-dehydrogenase,3639,7985,8677,2606,3322,765,229,1302,1844
c1cds193,VF_0200,954,acetyltransferase,1291,1364,1404,1059,1028,274,53,450,699
c1cds194,VF_0201,1008,UDP-glucose 4-epimerase,4931,5919,7219,5521,6109,1580,161,1106,2504
c1cds195,VF_0202,1533,phosphoglyceromutase,9573,12390,15981,19551,26659,8974,199,3278,6085
c1cds196,VF_0203,1500,Na%28%2B%29 driven multidrug efflux pump,354,313,329,269,140,42,1,69,110
c1cds197,VF_0204,291,co-chaperonin GroES,1686,1094,1362,3534,2712,793,63,489,1105
c1cds198,VF_0205,1647,molecular chaperone GroEL,11107,6090,9108,32908,26264,7193,288,2309,6576
c1cds199,VF_0206,771,triosephosphate isomerase,13147,14442,18118,16020,18608,6395,315,5323,12943
c1cds200,VF_0207,345,5-carboxymethyl-2-hydroxymuconate delta-isomerase,785,704,953,610,945,263,39,342,529
c1cds201,VF_0208,354,hypothetical protein,783,344,501,2,5,2,1,138,339
c1cds202,VF_0209,1008,fructose 1%2C6-bisphosphatase II,184,767,1087,3343,1895,453,25,504,800
c1cds203,VF_0210,243,transcriptional regulator,1426,864,1237,3140,3724,1033,144,837,871
c1cds204,VF_0211,498,ribonuclease activity regulator protein RraA,3033,2765,3935,2082,5068,1680,107,602,908
c1cds205,VF_0212,909,1%2C4-dihydroxy-2-naphthoate octaprenyltransferase,1733,3110,3421,866,583,165,121,323,636
c1cds206,VF_0214,870,phosphoribulokinase,779,1553,2350,2681,1892,347,54,569,916
c1cds207,VF_0215,261,hypothetical protein,132,204,156,150,131,42,1,86,73
c1cds208,VF_0216,969,hydrolase,502,923,773,330,404,115,76,147,252
c1cds209,VF_0217,507,hypothetical protein,52,32,42,107,24,9,1,27,63
c1cds210,VF_0218,1932,ABC transporter ATP-binding protein,608,727,1035,1474,917,246,66,209,458
c1cds211,VF_0219,543,glutathione-regulated potassium-efflux system ancillary protein KefG,429,669,691,400,346,85,125,138,248
c1cds212,VF_0220,1791,glutathione-regulated potassium-efflux system protein KefB,1922,2366,3094,1369,1336,363,84,545,1123
c1cds213,VF_0222,195,hypothetical protein,1826,1480,2042,1330,1328,382,109,376,822
c1cds214,VF_0223,654,FKBP-type peptidylprolyl isomerase,6846,5526,7620,8966,6618,1765,130,1585,3586
c1cds215,VF_0224,225,hypothetical protein,414,279,283,451,559,99,0,57,125
c1cds216,VF_0225,1014,vegetatible incompatibility protein HET-E-1,1379,553,740,729,789,259,71,215,370
c1cds217,VF_0226,795,FKBP-type peptidylprolyl isomerase,5890,4884,5712,13826,12242,3881,445,3015,6237
c1cds218,VF_0227,705,DNA-binding transcriptional regulator,744,871,825,1118,1405,523,104,600,934
c1cds219,VF_0228,393,sulfur transfer complex subunit TusD,286,348,415,425,879,249,206,266,638
c1cds220,VF_0229,357,sulfur transfer protein complex subunit TusC,236,306,271,306,734,179,40,218,395
c1cds221,VF_2582,291,sulfur transfer protein complex subunit TusB,577,197,101,541,346,285,81,300,166
c1cds222,VF_0230,375,30S ribosomal protein S12,13091,30544,45203,62832,41027,12261,854,7448,11770
c1cds223,VF_0231,471,30S ribosomal protein S7,15540,32698,49959,64114,44362,10313,337,6770,11087
c1cds224,VF_2583,189,hypothetical protein,1,3,6,13,12,6,19,8,8
c1cds225,VF_0232,2097,elongation factor G,16474,26006,39316,46699,30990,9256,829,6960,14711
c1cds226,VF_0233,1185,elongation factor Tu,87160,96890,116467,400271,307887,99147,2643,21172,39757
c1cds227,VF_0234,312,30S ribosomal protein S10,13255,16572,14080,48944,27033,9066,459,4048,6335
c1cds228,VF_0235,630,50S ribosomal protein L3,19954,29767,31070,74786,54202,19009,574,5126,9743
c1cds229,VF_0237,603,50S ribosomal protein L4,15629,18852,20018,57961,33964,15118,128,2509,4189
c1cds230,VF_0238,303,50S ribosomal protein L23,4704,7569,6783,16296,13828,5986,441,621,909
c1cds231,VF_0239,825,50S ribosomal protein L2,28467,35863,41127,80735,73189,29254,280,2807,5262
c1cds232,VF_0240,279,30S ribosomal protein S19,10831,14655,14641,28499,29341,9816,66,957,1867
c1cds233,VF_0241,333,50S ribosomal protein L22,13952,15028,15035,31795,29086,15760,208,1270,2242
c1cds234,VF_0242,699,30S ribosomal protein S3,23603,23427,25557,44472,47052,22162,307,2804,4540
c1cds235,VF_0243,411,50S ribosomal protein L16,18120,14744,17442,27154,29027,14784,249,2238,4536
c1cds236,VF_0244,192,50S ribosomal protein L29,8053,6561,5433,13955,12524,5452,685,771,1597
c1cds237,VF_0245,255,30S ribosomal protein S17,26372,34526,31898,36202,47820,17231,193,6317,11025
c1cds238,VF_0246,372,50S ribosomal protein L14,12884,31314,47243,60902,25099,7983,230,3898,7596
c1cds239,VF_0248,315,50S ribosomal protein L24,15176,43319,59514,58903,31809,8282,337,3881,6757
c1cds240,VF_0249,537,50S ribosomal protein L5,20953,60218,88339,90014,47189,12117,416,4138,7616
c1cds241,VF_0250,306,30S ribosomal protein S14,6600,21761,33994,26541,19138,5411,90,1477,2632
c1cds242,VF_0251,393,30S ribosomal protein S8,14697,36743,51679,55633,32091,10228,302,1921,3758
c1cds243,VF_0252,534,50S ribosomal protein L6,18163,53039,74723,76575,52068,15259,228,2303,4461
c1cds244,VF_0253,354,50S ribosomal protein L18,8308,19445,29714,32782,20169,6009,56,907,1512
c1cds245,VF_0254,501,30S ribosomal protein S5,19320,47259,64698,64962,47814,12810,127,1543,2714
c1cds246,VF_0255,180,50S ribosomal protein L30,6011,12380,18252,13538,11699,4348,3,528,1081
c1cds247,VF_0256,435,50S ribosomal protein L15,27467,47689,66703,56336,53024,16281,166,2638,4973
c1cds248,VF_0257,1332,preprotein translocase subunit SecY,66152,108975,157062,144000,110039,35456,764,7281,14686
c1cds249,VF_0258,114,50S ribosomal protein L36,10881,10637,18747,12508,10280,3594,108,1385,2624
c1cds250,VF_0259,357,30S ribosomal protein S13,22200,20614,42517,44200,19280,5840,194,2630,4201
c1cds251,VF_0260,390,30S ribosomal protein S11,19593,20545,38185,44115,20186,6290,44,1203,2095
c1cds252,VF_0261,621,30S ribosomal protein S4,38465,36111,67299,74541,38903,12073,301,1837,2823
c1cds253,VF_0262,990,DNA-directed RNA polymerase subunit alpha,67879,71921,127769,119675,73431,23639,336,4607,8065
c1cds254,VF_0263,381,50S ribosomal protein L17,22756,24259,46426,26772,20312,7192,62,2335,3532
c1cds255,VF_0264,1011,fructose-1%2C6-bisphosphatase,7200,3116,3624,6427,6924,1280,612,1184,2319
c1cds256,VF_0265,1380,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase,1622,2297,2807,2471,2808,767,235,871,1275
c1cds257,VF_0266,618,aromatic acid decarboxylase,1570,4147,3981,898,1024,231,280,727,1274
c1cds258,VF_0267,1017,thiamine transporter substrate binding subunit,464,611,494,582,432,124,62,460,656
c1cds259,VF_0268,1605,thiamine transporter membrane protein,253,199,136,136,91,26,51,217,207
c1cds260,VF_0269,705,thiamine ABC transporter ATP-binding protein ThiQ%2FSfuC,97,83,70,119,90,25,16,89,95
c1cds261,VF_0270,2859,ATP-dependent helicase HepA,20138,14896,17230,3188,2399,712,765,4504,11345
c1cds262,VF_0271,738,pseudouridine synthase,5346,3952,4557,853,686,190,326,1413,3991
c1cds263,VF_0272,438,universal stress protein,1242,800,1134,1342,2256,762,135,343,654
c1cds264,VF_0273,2580,transporter,4459,4811,5319,6984,3540,754,350,1142,1978
c1cds265,VF_0274,975,hypothetical protein,18911,13611,16408,19541,10510,1458,640,5005,8672
c1cds266,VF_0275,471,arginine repressor ArgR,477,2245,3666,1867,1349,405,14,327,678
c1cds267,VF_0276,936,malate dehydrogenase,4712,9705,8590,31073,53523,9803,328,2843,4868
