VF_number,CDS_number,Plk1_rpkm,Plk2_rpkm,Plk3_rpkm,Plk_rpkm_mean,Plk_rpkm_std,Swt1_rpkm,Swt2_rpkm,Swt3_rpkm,Swt_rpkm_mean,Swt_rpkm_std,Vnt1_rpkm,Vnt2_rpkm,Vnt3_rpkm,Vnt_rpkm_mean,Vnt_rpkm_std,Plk-vs-Swt_log2fc,Plk-vs-Swt_padj,Vnt-vs-Plk_log2fc,Vnt-vs-Plk_padj,Vnt-vs-Swt_log2fc,Vnt-vs-Swt_padj,Description,KO_number,Pathways
VF_0023,c1cds22,660.958186266,353.473792376,353.454480257,455.962152966,177.531772775,148.948793982,226.30687025,185.206203024,186.820622419,38.7042989013,207.975479318,318.347967187,428.379799952,318.234415486,110.202204193,1.376008,0.016036832063,-1.095312,0.0904209761387,0.280696,0.659411228361,oxidoreductase%2C Zn-dependent and NAD%28P%29-binding,,
VF_0024,c1cds23,843.002803921,775.083286896,608.951959201,742.346016673,120.410739242,7.2303693235,10.2383471457,7.39336341887,8.2873599627,1.69156880146,685.36588403,1416.51248146,1917.36885833,1339.74907461,619.578322448,6.353999,8.40298671061e-31,0.226202,0.802351461739,6.5802,8.54280579015e-33,3-ketoacyl-CoA thiolase,K00632,"[('PATH:ko00071', ('Metabolism', 'Lipid Metabolism', 'Fatty acid metabolism')), ('PATH:ko00592', ('Metabolism', 'Lipid Metabolism', 'alpha-Linolenic acid metabolism')), ('PATH:ko00280', ('Metabolism', 'Amino Acid Metabolism', 'Valine, leucine and isoleucine degradation')), ('PATH:ko00281', ('Metabolism', 'Metabolism of Terpenoids and Polyketides', 'Geraniol degradation')), ('PATH:ko00362', ('Metabolism', 'Xenobiotics Biodegradation and Metabolism', 'Benzoate degradation')), ('PATH:ko00642', ('Metabolism', 'Xenobiotics Biodegradation and Metabolism', 'Ethylbenzene degradation'))]"
VF_0025,c1cds24,937.332994707,545.683219327,674.748813084,719.25500904,199.582032627,7.13473971649,12.2867216952,5.91503019164,8.44549720111,3.38203740988,1444.7552806,2167.56198732,2475.37762801,2029.23163198,529.052994657,6.314259,4.65049477631e-36,0.810734,0.227418311536,7.124992,1.46197528399e-45,multifunctional fatty acid oxidation complex subunit alpha,K01825,"[('PATH:ko00640', ('Metabolism', 'Carbohydrate Metabolism', 'Propanoate metabolism')), ('PATH:ko00650', ('Metabolism', 'Carbohydrate Metabolism', 'Butanoate metabolism')), ('PATH:ko00720', ('Metabolism', 'Energy Metabolism', 'Carbon fixation pathways in prokaryotes')), ('PATH:ko00071', ('Metabolism', 'Lipid Metabolism', 'Fatty acid metabolism')), ('PATH:ko01040', ('Metabolism', 'Lipid Metabolism', 'Biosynthesis of unsaturated fatty acids')), ('PATH:ko00280', ('Metabolism', 'Amino Acid Metabolism', 'Valine, leucine and isoleucine degradation')), ('PATH:ko00310', ('Metabolism', 'Amino Acid Metabolism', 'Lysine degradation')), ('PATH:ko00380', ('Metabolism', 'Amino Acid Metabolism', 'Tryptophan metabolism')), ('PATH:ko00410', ('Metabolism', 'Metabolism of Other Amino Acids', 'beta-Alanine metabolism')), ('PATH:ko00903', ('Metabolism', 'Metabolism of Terpenoids and Polyketides', 'Limonene and pinene degradation')), ('PATH:ko00281', ('Metabolism', 'Metabolism of Terpenoids and Polyketides', 'Geraniol degradation')), ('PATH:ko00930', ('Metabolism', 'Xenobiotics Biodegradation and Metabolism', 'Caprolactam degradation'))]"
VF_0026,c1cds25,28.198674195,37.3939644089,34.0610593035,33.2178993025,4.65526901696,35.7442467183,106.726071369,99.0193282323,80.4965487733,38.9477197903,1.81393315206,42.4452527143,56.1959678734,33.4850512466,28.2765863015,-0.988399,0.329057266507,-0.461986,0.728445581942,-1.450385,0.115520158489,elongation factor,,
VF_0027,c1cds26,15.4180492944,20.7453946835,16.0334986233,17.3989808671,2.91437103717,25.8089215188,35.0889855239,38.8525557922,33.2501542783,6.71342491034,63.0472403387,35.8692431187,32.3897373131,43.7687402568,16.7860705413,-0.726161,0.0713832196753,0.442948,0.365609361446,-0.283213,0.505050065213,potassium transporter,K03498,"[(None, ('Unclassified', 'Cellular Processes and Signaling', 'Other ion-coupled transporters'))]"
VF_0028,c1cds27,16.2041071156,17.1222084779,18.267616893,17.1979774955,1.03383937745,40.1635354034,58.168437998,63.8733789652,54.0684507889,12.3752410792,0.0,44.3078098954,30.2753122158,24.8610407037,22.6446739088,-1.333449,0.149959988012,-0.0079,0.993708067897,-1.341349,0.132545248593,protoporphyrinogen oxidase,K00230,"[('PATH:ko00860', ('Metabolism', 'Metabolism of Cofactors and Vitamins', 'Porphyrin and chlorophyll metabolism'))]"
VF_0029,c1cds28,38.6220886737,24.6693997853,24.2999044879,29.1971309823,8.16434334818,204.015676127,22.2537204119,30.1999700836,85.4897888742,102.723294256,88.7365032601,52.5358945881,28.2566911808,56.509696343,30.4350988593,-1.241934,0.130843580292,0.05388,0.966359914805,-1.188054,0.132669413764,zinc protease,K07263,"[('BR:ko01002', ('Metabolism', 'Enzyme Families', 'Peptidases'))]"
VF_0030,c1cds29,61.6058244884,29.8748338745,17.539185337,36.3399479,22.7335753027,139.763218437,19.1050182957,33.0331686087,63.9671351137,66.0097191944,0.0,73.604626913,14.6059198551,29.4035155894,38.9696921387,-0.564018,0.654658062174,-0.720614,0.614116834202,-1.284633,0.233100063938,hypothetical protein,,
VF_0031,c1cds30,93.4404819738,41.5434811969,38.0952520604,57.6930717437,31.0061376934,12.9582144935,10.9125571435,14.277763414,12.7161783503,1.69560886756,190.89674759,94.0840752058,94.672171964,126.550998253,55.7258293587,2.274805,1.30363908685e-08,0.301999,0.607081259427,2.576804,8.70269359356e-11,chloride channel protein,,
VF_0032,c1cds31,2.34478035781,2.33274923369,2.31416886369,2.33056615173,0.0154220711367,3.55823126498,3.66080435734,5.77666218032,4.33189926754,1.25225205746,55.616034132,44.9314175337,29.3908069702,43.3127528787,13.1873307144,-0.664454,0.111434419429,3.316383,2.25511550239e-20,2.651929,1.27183397223e-13,thiamine biosynthesis protein ThiC,K03147,"[('PATH:ko00730', ('Metabolism', 'Metabolism of Cofactors and Vitamins', 'Thiamine metabolism'))]"
VF_0033,c1cds32,3.20287792161,2.39664154954,2.13692042531,2.57881329882,0.555838335897,3.18758217488,4.45212974368,5.16695284387,4.26888825414,1.00232736366,88.322054204,20.9969311884,14.4774220265,41.2654691396,40.882363537,-0.521955,0.488085139366,2.784766,1.11040916038e-05,2.262811,0.000179158223036,thiamin phosphate synthase,K00788,"[('PATH:ko00730', ('Metabolism', 'Metabolism of Cofactors and Vitamins', 'Thiamine metabolism'))]"
VF_0034,c1cds33,4.45109547975,2.12791827349,3.63583942868,3.40495106064,1.17867305127,4.01314302592,5.72531073153,7.04209000704,5.59351458816,1.51876845541,0.0,25.1222275352,15.973635952,13.6986211624,12.7146902559,-0.494266,0.667353092275,1.337035,0.233296273629,0.842768,0.399156032087,thiamin %28thiazole moiety%29 biosynthesis protein,K03148,"[('PATH:ko00730', ('Metabolism', 'Metabolism of Cofactors and Vitamins', 'Thiamine metabolism')), ('PATH:ko04122', ('Genetic Information Processing', 'Folding, Sorting and Degradation', 'Sulfur relay system'))]"
VF_0035,c1cds35,6.15224913479,2.70210701419,3.52134552576,4.12523389158,1.80260395869,5.5813695669,10.7529203648,9.82904994079,8.72111329083,2.75805676683,0.0,32.3104527551,27.5270348468,19.9458292006,17.4383872132,-0.834837,0.458837851365,1.584493,0.158798958874,0.749656,0.471812846528,thiazole synthase,K03149,"[('PATH:ko00730', ('Metabolism', 'Metabolism of Cofactors and Vitamins', 'Thiamine metabolism'))]"
VF_0036,c1cds36,7.29950410143,4.56323568047,5.62377714082,5.82883897424,1.37961189634,5.18410541882,6.58244988984,7.13002453366,6.29885994744,1.00347782335,38.1706148235,21.5828670561,15.9712668551,25.2415829116,11.5430677828,0.063405,0.906292324988,1.204522,0.00421002544345,1.267927,0.00111730124895,thiamine biosynthesis protein ThiH,K03150,"[('PATH:ko00730', ('Metabolism', 'Metabolism of Cofactors and Vitamins', 'Thiamine metabolism'))]"
VF_0037,c1cds37,25.6528923922,22.2056117744,25.3497423003,24.4027488223,1.90880418062,28.1647885795,17.5976819482,15.3235611301,20.3620105526,6.85240213914,49.9142830838,39.0874244228,32.7270531858,40.5762535641,8.68980305019,0.450227,0.260191439246,-0.077139,0.892559353839,0.373087,0.335173032612,beta-N-acetylhexosaminidase,K12373,"[('PATH:ko00520', ('Metabolism', 'Carbohydrate Metabolism', 'Amino sugar and nucleotide sugar metabolism')), ('PATH:ko00531', ('Metabolism', 'Glycan Biosynthesis and Metabolism', 'Glycosaminoglycan degradation')), ('PATH:ko00603', ('Metabolism', 'Glycan Biosynthesis and Metabolism', 'Glycosphingolipid biosynthesis - globo series')), ('PATH:ko00604', ('Metabolism', 'Glycan Biosynthesis and Metabolism', 'Glycosphingolipid biosynthesis - ganglio series')), ('PATH:ko00511', ('Metabolism', 'Glycan Biosynthesis and Metabolism', 'Other glycan degradation')), ('BR:ko03110', ('Genetic Information Processing', 'Folding, Sorting and Degradation', 'Chaperones and folding catalysts')), ('PATH:ko04142', ('Cellular Processes', 'Transport and Catabolism', 'Lysosome'))]"
VF_0038,c1cds38,57.7087588975,59.7410657237,71.8351887122,63.0950044445,7.63712534495,215.295056928,161.392362149,187.026028152,187.90448241,26.9620824037,133.721453303,99.868346861,95.4096377631,109.666479309,20.9511658889,-1.352475,1.55322394046e-05,-0.018297,0.97366238621,-1.370772,1.20446788266e-05,Xaa-Pro aminopeptidase,K01262,"[('BR:ko01002', ('Metabolism', 'Enzyme Families', 'Peptidases'))]"
VF_0040,c1cds39,17.6665331201,7.06902150726,7.77454123682,10.8366986214,5.9253201586,14.9479785219,7.8761612036,11.1790180577,11.3343859277,3.53846780786,112.565255418,8.7099071256,9.796296677,43.6904864068,59.6497729693,0.075719,0.944956516939,0.795734,0.452351094807,0.871453,0.312842920034,LysR family transcriptional regulator,,
VF_0041,c1cds40,37.7676657716,69.3500525,58.1346595706,55.0841259474,16.0106559642,239.884995136,112.152561026,91.1848154994,147.740790554,80.4849514922,150.379482533,327.805748007,241.939995019,240.041741853,88.7283632431,-1.129272,0.0865815434408,1.341298,0.0567779023546,0.212026,0.77042242713,multidrug efflux system protein,K07552,"[('BR:ko02000', ('Environmental Information Processing', 'Membrane Transport', 'Transporters'))]"
VF_0042,c1cds41,149.360256309,159.888593393,154.001466321,154.416772008,5.27644099243,178.767495168,140.465021258,145.834728606,155.022415011,20.7383717544,504.647423108,339.022615015,241.213827737,361.627955287,133.163680669,0.190736,0.590428961253,0.350892,0.337250277589,0.541628,0.0696841474996,hypothetical protein,,
VF_0043,c1cds42,26.1118969502,25.1392802033,25.2122143729,25.4877971755,0.541715095677,12.5446782366,8.01178186593,10.3894643205,10.315308141,2.2673578745,19.2862053845,15.7880150794,14.2259531575,16.4333912071,2.5911234841,1.482603,2.1231095696e-05,-1.380423,0.00040206842936,0.102181,0.819400323834,drug%2Fmetabolite exporter family protein,,
VF_0044,c1cds43,8.54224043748,7.76167359959,7.8121933103,8.03870244912,0.436807668865,27.7263064915,21.0093104768,19.5558351115,22.7638173599,4.35865477472,19.1625758628,14.10050324,10.3292485328,14.5307758785,4.43235477342,-1.298289,2.05907371934e-05,0.017923,0.973907405391,-1.280366,5.73837719743e-05,recombination limiting protein,K09760,"[(None, ('Unclassified', 'Genetic Information Processing', 'Replication, recombination and repair proteins'))]"
VF_0046,c1cds44,28.1718463578,39.9417334855,49.1785000626,39.0973599686,10.5287511104,248.381403195,135.259941736,143.639037664,175.760127532,63.0312586846,167.05257311,148.801781251,116.376200136,144.076851499,25.6664647999,-1.891465,1.33054466729e-05,1.027065,0.0432975758888,-0.8644,0.0601110323778,ubiquinone%2Fmenaquinone biosynthesis methyltransferase,K03183,"[('PATH:ko00130', ('Metabolism', 'Metabolism of Cofactors and Vitamins', 'Ubiquinone and other terpenoid-quinone biosynthesis'))]"
VF_0047,c1cds45,6.77531868032,16.3841700678,16.3299760386,13.1631549289,5.53209482947,64.7477629272,50.9579273203,38.5589376223,51.4215426232,13.10056667,0.0,37.0138210051,20.3187191533,19.1108467195,18.5364493151,-1.55606,0.10376548275,-0.050345,0.97366238621,-1.606404,0.081569777843,hypothetical protein,K03690,"[(None, ('Unclassified', 'Poorly Characterized', 'Function unknown'))]"
VF_0048,c1cds46,179.587636965,127.160899006,140.821095551,149.189877174,27.1968397545,127.298579883,77.1187061039,92.6996636617,99.0389832162,25.683558212,251.627475527,153.775690014,215.613462057,207.005542533,49.4905565834,0.762715,0.0548146060059,-0.2934,0.574728203093,0.469315,0.24334003663,ubiquinone biosynthesis protein UbiB,K03688,"[('PATH:ko00130', ('Metabolism', 'Metabolism of Cofactors and Vitamins', 'Ubiquinone and other terpenoid-quinone biosynthesis'))]"
VF_0049,c1cds47,1438.87620012,550.347214948,512.037029141,833.753481401,524.401607656,603.336336955,527.876226708,819.449669898,650.22074452,151.335319565,1850.3429428,523.417475694,456.427899708,943.396106067,786.1528632,0.467465,0.476038338458,-0.736568,0.276477328161,-0.269103,0.666300520376,twin-arginine translocation protein TatA,K03116,"[('PATH:ko03060', ('Genetic Information Processing', 'Folding, Sorting and Degradation', 'Protein export')), ('PATH:ko03070', ('Environmental Information Processing', 'Membrane Transport', 'Bacterial secretion system')), ('BR:ko02044', ('Environmental Information Processing', 'Membrane Transport', 'Secretion system'))]"
VF_0050,c1cds48,804.231758668,553.487496859,714.715751542,690.811669023,127.069764611,367.073931556,578.56402583,576.320925691,507.319627692,121.461513815,829.724446217,417.419306939,589.356471471,612.166741542,207.096869325,0.60069,0.176350637096,-0.966006,0.0335811144899,-0.365317,0.40959400991,sec-independent translocase,K03117,"[('PATH:ko03060', ('Genetic Information Processing', 'Folding, Sorting and Degradation', 'Protein export')), ('PATH:ko03070', ('Environmental Information Processing', 'Membrane Transport', 'Bacterial secretion system')), ('BR:ko02044', ('Environmental Information Processing', 'Membrane Transport', 'Secretion system'))]"
VF_0051,c1cds49,821.253610631,410.194062189,470.122493569,567.190055463,222.056460771,307.943206537,313.163411902,267.141486099,296.082701513,25.1993670205,286.183945475,297.654908872,350.003609431,311.280821259,34.0218531705,1.064335,0.0179092150862,-1.51625,0.00115303067983,-0.451914,0.340285724078,TatABCE protein translocation system subunit,K03118,"[('PATH:ko03060', ('Genetic Information Processing', 'Folding, Sorting and Degradation', 'Protein export')), ('PATH:ko03070', ('Environmental Information Processing', 'Membrane Transport', 'Bacterial secretion system')), ('BR:ko02044', ('Environmental Information Processing', 'Membrane Transport', 'Secretion system'))]"
VF_0052,c1cds50,11.7732059573,12.4549875803,20.2208198514,14.8163377963,4.69281645262,33.3817660833,29.6099180084,34.8079937864,32.599892626,2.68579457996,0.0,33.5580874355,20.1355422945,17.8978765767,16.8905792968,-0.838148,0.410305797081,-0.266015,0.843411786756,-1.104164,0.234668371494,TatD family Dnase,K03424,"[(None, ('Unclassified', 'Genetic Information Processing', 'Replication, recombination and repair proteins'))]"
VF_0053,c1cds51,119.796252703,87.554407741,100.299732588,102.550131011,16.2382992164,290.596540161,409.711320312,453.983955705,384.763938726,84.5023122498,327.374802683,70.4026896286,83.8356728194,160.53772171,144.641176537,-1.688367,0.000730938162141,-0.350528,0.625088558147,-2.038894,3.09932698291e-05,delta-aminolevulinic acid dehydratase,K01698,"[('PATH:ko00860', ('Metabolism', 'Metabolism of Cofactors and Vitamins', 'Porphyrin and chlorophyll metabolism'))]"
VF_0054,c1cds52,56.3554668487,84.5456447889,106.485576857,82.4622294981,25.1299113968,218.84223807,220.317203602,225.595939763,221.585127145,3.55089343986,101.296146504,23.8519356012,27.9194646278,51.0225155776,43.585716387,-1.169361,0.0297467167572,-1.679704,0.00280194948528,-2.849065,8.3512589466e-09,guanosine pentaphosphate phosphohydrolase,K01524,"[('PATH:ko00230', ('Metabolism', 'Nucleotide Metabolism', 'Purine metabolism'))]"
VF_0056,c1cds53,72.5947174053,120.878321605,136.693815105,110.055618038,33.3919416303,432.532080103,481.655514434,435.790110527,449.992568355,27.4692611179,163.103171691,58.9290315547,55.592374685,92.541525977,61.1309471888,-1.768956,7.5689101725e-05,-1.204642,0.0177336851439,-2.973599,6.13980525916e-12,ATP-dependent RNA helicase RhlB,K03732,"[('PATH:ko03018', ('Genetic Information Processing', 'Folding, Sorting and Degradation', 'RNA degradation'))]"
